time_bucket,room_type,total_revenue,reservation_count,avg_cost_per_reservation
2025-06,Deluxe,8605.08,17,506.18
2025-06,Standard,12872.64,39,330.07
2025-06,Suite,12534.50,17,737.32
2025-07,Deluxe,6506.28,13,500.48
2025-07,Standard,10074.24,35,287.84
2025-07,Suite,11660.00,16,728.75
2025-08,Deluxe,12802.68,27,474.17
2025-08,Standard,13992.00,44,318.00
2025-08,Suite,14283.50,22,649.25
2025-09,Deluxe,5876.64,16,367.29
2025-09,Standard,12452.88,34,366.26
2025-09,Suite,13117.50,19,690.39
2025-10,Deluxe,11333.52,25,453.34
2025-10,Standard,11333.52,46,246.38
2025-10,Suite,14866.50,26,571.79
2025-11,Deluxe,3987.72,9,443.08
2025-11,Standard,2238.72,10,223.87
2025-11,Suite,2915.00,7,416.43
