time_bucket,room_type,total_revenue,reservation_count,avg_cost_per_reservation
2025-05-26,Deluxe,419.76,1,419.76
2025-05-26,Standard,419.76,1,419.76
2025-05-26,Suite,583.00,1,583.00
2025-06-02,Deluxe,2098.80,4,524.70
2025-06-02,Standard,2798.40,10,279.84
2025-06-02,Suite,3498.00,3,1166.00
2025-06-09,Deluxe,1049.40,2,524.70
2025-06-09,Standard,2938.32,9,326.48
2025-06-09,Suite,3206.50,4,801.62
2025-06-16,Deluxe,3777.84,6,629.64
2025-06-16,Standard,3218.16,10,321.82
2025-06-16,Suite,2040.50,4,510.12
2025-06-23,Deluxe,1259.28,4,314.82
2025-06-23,Standard,2798.40,7,399.77
2025-06-23,Suite,2915.00,4,728.75
2025-06-30,Deluxe,1469.16,4,367.29
2025-06-30,Standard,2658.48,9,295.39
2025-06-30,Suite,2332.00,5,466.40
2025-07-07,Deluxe,1049.40,2,524.70
2025-07-07,Standard,2798.40,10,279.84
2025-07-07,Suite,874.50,2,437.25
2025-07-14,Deluxe,1888.92,2,944.46
2025-07-14,Standard,1958.88,7,279.84
2025-07-14,Suite,3206.50,3,1068.83
2025-07-21,Deluxe,1469.16,3,489.72
2025-07-21,Standard,2238.72,7,319.82
2025-07-21,Suite,3498.00,5,699.60
2025-07-28,Deluxe,2098.80,5,419.76
2025-07-28,Standard,2798.40,9,310.93
2025-07-28,Suite,3789.50,4,947.38
2025-08-04,Deluxe,2308.68,6,384.78
2025-08-04,Standard,3358.08,9,373.12
2025-08-04,Suite,2915.00,4,728.75
2025-08-11,Deluxe,3148.20,6,524.70
2025-08-11,Standard,3078.24,10,307.82
2025-08-11,Suite,3498.00,6,583.00
2025-08-18,Deluxe,2728.44,7,389.78
2025-08-18,Standard,3078.24,8,384.78
2025-08-18,Suite,2332.00,4,583.00
2025-08-25,Deluxe,3148.20,5,629.64
2025-08-25,Standard,2798.40,12,233.20
2025-08-25,Suite,3789.50,6,631.58
2025-09-01,Deluxe,1679.04,4,419.76
2025-09-01,Standard,1399.20,7,199.89
2025-09-01,Suite,3498.00,4,874.50
2025-09-08,Deluxe,1259.28,4,314.82
2025-09-08,Standard,4057.68,9,450.85
2025-09-08,Suite,5247.00,6,874.50
2025-09-15,Deluxe,1259.28,4,314.82
2025-09-15,Standard,2378.64,7,339.81
2025-09-15,Suite,2332.00,6,388.67
2025-09-22,Deluxe,1469.16,3,489.72
2025-09-22,Standard,3777.84,9,419.76
2025-09-22,Suite,2040.50,3,680.17
2025-09-29,Deluxe,2728.44,6,454.74
2025-09-29,Standard,3078.24,10,307.82
2025-09-29,Suite,1749.00,5,349.80
2025-10-06,Deluxe,2518.56,6,419.76
2025-10-06,Standard,2098.80,10,209.88
2025-10-06,Suite,4081.00,6,680.17
2025-10-13,Deluxe,3358.08,5,671.62
2025-10-13,Standard,2098.80,10,209.88
2025-10-13,Suite,3498.00,5,699.60
2025-10-20,Deluxe,1259.28,5,251.86
2025-10-20,Standard,3218.16,12,268.18
2025-10-20,Suite,3206.50,5,641.30
2025-10-27,Deluxe,2518.56,6,419.76
2025-10-27,Standard,1958.88,8,244.86
2025-10-27,Suite,2623.50,6,437.25
2025-11-03,Deluxe,1259.28,3,419.76
2025-11-03,Standard,979.44,5,195.89
2025-11-03,Suite,1749.00,4,437.25
2025-11-10,Deluxe,1888.92,4,472.23
2025-11-10,Standard,979.44,3,326.48
2025-11-10,Suite,874.50,2,437.25
