time_bucket,room_type,total_revenue,reservation_count,avg_cost_per_reservation
2025-06,Deluxe,7555.68,16,472.23
2025-06,Standard,13572.24,40,339.31
2025-06,Suite,11368.50,17,668.74
2025-07,Deluxe,6716.16,14,479.73
2025-07,Standard,11053.68,36,307.05
2025-07,Suite,11368.50,19,598.34
2025-08,Deluxe,15950.88,29,550.03
2025-08,Standard,13012.56,46,282.88
2025-08,Suite,13117.50,23,570.33
2025-09,Deluxe,6716.16,16,419.76
2025-09,Standard,7835.52,31,252.76
2025-09,Suite,13409.00,17,788.76
2025-10,Deluxe,10494.00,22,477.00
2025-10,Standard,12872.64,42,306.49
2025-10,Suite,12826.00,22,583.00
2025-11,Deluxe,2728.44,7,389.78
2025-11,Standard,5037.12,14,359.79
2025-11,Suite,5830.00,8,728.75
